create mail merge documents using fields supported objects.	erstellen sie seriendruckdokumente mithilfe von objekten, die felder unterstützen.
expand individual sections of problems, goals, and tasks by clicking the triangles (4).	erweitern sie die einzelnen abschnitte mit problemen, zielen und aufgaben, indem sie jeweils auf die dreiecke klicken (4).
calculates totals for groups and the quote again, since line-level totals may have changed	die gesamtwerte für gruppen und das angebot werden erneut berechnet, da sich die gesamtwerte auf belegpostenebene möglicherweise geändert haben.
however, if the search phrase is fruit and vegetables, which is not a defined synonym, the search matches only those items that contain both the terms, fruit and vegetables.	wenn der suchausdruck allerdings obst und gemüse lautet, wobei es sich um kein definiertes synonym handelt, werden bei der suche nur die elemente ausgegeben, die die beiden begriffe obst und gemüse aufweisen.
articles can't be linked to cases. (but links that are set up from the full site can be viewed on the related tab.)	artikel können nicht mit kundenvorgängen verknüpft werden. (links, die über die vollständige site eingerichtet werden, können jedoch auf der registerkarte "themen" angezeigt werden.)
recommendations carousel component	komponente 'empfehlungskarussell'
select enable "set audit fields upon record creation" and "update records with inactive owners" user permissions and save your changes.	wählen sie benutzerberechtigungen "aktivierungsfelder bei der datensatzerstellung festlegen" und "datensätze mit inaktiven inhabern aktualisieren" aktivieren aus und speichern sie die änderungen.
execute javascript	javascript ausführen
\r	\r
download filtered data from lens explorations and dashboard widgets. download formats include image (.png), microsoft® excel® (.xls), and comma-separated values (.csv) files. this feature downloads the results of a displayed query (or step).	laden sie gefilterte daten aus linsen-erkundungen und dashboard-widgets herunter. heruntergeladen werden können dateien in den formaten bild (.png), microsoft® excel® (.xls) und kommagetrennte werte (.csv). mit dieser funktion werden die ergebnisse einer angezeigten abfrage (oder eines schrittes) heruntergeladen.
if you have read-only access to a field, the value of that field is not carried over to the cloned record.	wenn sie nur über lesezugriff auf das feld verfügen, wird der wert des felds nicht auf den duplizierten datensatz übertragen.
creating custom perspectives in the log inspector	erstellen benutzerdefinierter perspektiven im "log inspector" (protokollinspektor)
home in lightning experience focuses on top sales user priorities, including quarterly sales performance. there’s even an assistant, which is your users’ action list of things to do. you can also use the lightning app builder to create custom home pages for different profiles.	bei der startseite in lightning experience liegt der fokus auf den höchsten benutzerprioritäten beim vertrieb, einschließlich der vierteljährlichen vertriebsleistung. es gibt sogar einen assistenten, bei dem es sich um die aktionsliste der zu erledigenden aufgaben ihrer benutzer handelt. sie können auch den lightning-anwendungsgenerator verwenden, um benutzerdefinierte startseiten für verschiedene profile zu erstellen.
to work more efficiently or close more deals, help your users adopt your company’s processes.. set up a process based on an object’s status or stage. add guidance for success at each step in the process.	helfen sie ihren benutzern dabei, die prozesse ihres unternehmens zu übernehmen, damit sie effizienter arbeiten und mehr geschäfte abschließen können. richten sie einen prozess basierend auf dem status oder der phase eines objekts ein. fügen sie jedem schritt des prozesses eine anleitung für den erfolg hinzu.
to view the templates, click the preview links.	um vorlagen anzuzeigen, klicken sie auf die links vorschau.
summary reports	zusammenfassungsberichte
click manage licenses to assign available licenses to users in your organization. you can’t assign licenses in lightning experience. if you need to assign a license, switch to salesforce classic.	klicken sie auf lizenzen verwalten, um die verfügbaren lizenzen benutzern in ihrem unternehmen zuzuweisen. sie können in lightning experience keine lizenzen zuweisen. wenn sie eine lizenz zuweisen müssen, wechseln sie zu salesforce classic.
the label used for the group details tab on mobile devices. the default text is details. the label you specify here doesn’t affect labels on desktop browsers.	die für die registerkarte "gruppendetails" auf mobilgeräten verwendete bezeichnung. der standardtext lautet details. die von ihnen hier angegebene bezeichnung wirkt sich nicht auf die bezeichnungen in desktop-browsern aus.
permission to edit public calendars and resource calendars	berechtigung zum bearbeiten von öffentlichen und ressourcenkalendern
mask types and characters	maskieren von typen und zeichen
monitoring in-flight approval processes	überwachen von aktiven genehmigungsprozessen
change the content layout in community builder	ändern des inhaltslayouts im community-generator
translate names and descriptions	übersetzen von namen und beschreibungen
the encryption utility encrypts passwords but not data. https with tls 1.0 or later encrypts data transmitted by the apex data loader.	mit dem verschlüsselungsdienstprogramm werden kennwörter, aber keine daten verschlüsselt. mithilfe von https mit tls 1.0 oder höher werden über apex data loader übertragene daten verschlüsselt.
add work orders to the console to view and edit work orders and their associated records in one place.	fügen sie arbeitsaufträge der konsole hinzu, um sie und die mit ihnen verknüpften datensätze an einem ort anzuzeigen und zu bearbeiten.
zipcode city	plz stadt
css	css
shipment	lieferung
view the topics the group is talking about	anzeigen von themen, über die in der gruppe gesprochen wird
salesforce serves the domain over https using a salesforce content delivery network (cdn) partner and a shared https certificate.	salesforce stellt die domäne über https mithilfe eines content delivery network-partners (cdn) von salesforce und eines gemeinsam genutzten https-zertifikats bereit.
